isolate,location,year,treatment,genus,chem,hrs,rep,set,trial,conc,od600,species,tissue
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,24,2,10,1,0.01,0.194,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,24,3,10,1,0.01,0.1631,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,24,1,10,1,0.1,0.1892,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,24,2,10,1,0.1,0.1473,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,24,3,10,1,0.1,0.1544,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,24,1,10,1,0.5,0.1827,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,24,2,10,1,0.5,0.1665,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,24,3,10,1,0.5,0.172,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,24,1,10,1,1,0.2281,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,24,2,10,1,1,0.174,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,24,3,10,1,1,0.1742,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,24,1,10,1,10,0.1673,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,24,2,10,1,10,0.2124,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,24,3,10,1,10,0.2132,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,24,1,10,1,100,0.2215,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,24,2,10,1,100,0.2086,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,24,3,10,1,100,0.2327,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,48,1,10,1,0,0.1712,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,48,2,10,1,0,0.1893,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,48,3,10,1,0,0.1713,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,48,1,10,1,0.01,0.209,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,48,2,10,1,0.01,0.1826,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,48,3,10,1,0.01,0.1618,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,48,1,10,1,0.1,0.1962,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,48,2,10,1,0.1,0.1532,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,48,3,10,1,0.1,0.1756,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,48,1,10,1,0.5,0.1843,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,48,2,10,1,0.5,0.1718,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,48,3,10,1,0.5,0.1722,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,48,1,10,1,1,0.2076,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,48,2,10,1,1,0.1688,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,48,3,10,1,1,0.1791,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,48,1,10,1,10,0.1817,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,48,2,10,1,10,0.2062,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,48,3,10,1,10,0.2033,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,48,1,10,1,100,0.203,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,48,2,10,1,100,0.2115,BLANK,BLANK
BLANK10T1,Not Relevent,2017,Not Relevent,BLANK,mefenoxam,48,3,10,1,100,0.218,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,24,1,12,1,0,0.1361,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,24,2,12,1,0,0.1691,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,24,3,12,1,0,0.1637,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,24,1,12,1,0.01,0.1636,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,24,2,12,1,0.01,0.1924,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,24,3,12,1,0.01,0.1471,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,24,1,12,1,0.1,0.146,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,24,2,12,1,0.1,0.18,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,24,3,12,1,0.1,0.1409,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,24,1,12,1,0.5,0.1632,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,24,2,12,1,0.5,0.1477,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,24,3,12,1,0.5,0.1417,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,24,1,12,1,1,0.1522,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,24,2,12,1,1,0.1513,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,24,3,12,1,1,0.1509,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,24,1,12,1,10,0.1435,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,24,2,12,1,10,0.146,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,24,3,12,1,10,0.14,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,24,1,12,1,100,0.1685,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,24,2,12,1,100,0.1614,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,24,3,12,1,100,0.2177,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,48,1,12,1,0,0.1541,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,48,2,12,1,0,0.1788,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,48,3,12,1,0,0.1793,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,48,1,12,1,0.01,0.1614,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,48,2,12,1,0.01,0.2124,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,48,3,12,1,0.01,0.1556,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,48,1,12,1,0.1,0.1389,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,48,2,12,1,0.1,0.1711,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,48,3,12,1,0.1,0.1361,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,48,1,12,1,0.5,0.166,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,48,2,12,1,0.5,0.142,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,48,3,12,1,0.5,0.1382,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,48,1,12,1,1,0.1586,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,48,2,12,1,1,0.1396,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,48,3,12,1,1,0.152,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,48,1,12,1,10,0.1487,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,48,2,12,1,10,0.1393,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,48,3,12,1,10,0.1439,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,48,1,12,1,100,0.1816,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,48,2,12,1,100,0.1627,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,48,3,12,1,100,0.21,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,gr,0,1,12,1,0,0.136,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,gr,0,2,12,1,0,0.1852,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,gr,0,3,12,1,0,0.1585,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,gr,14,1,12,1,0,0.1375,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,gr,14,2,12,1,0,0.1701,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,gr,14,3,12,1,0,0.1705,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,gr,18,1,12,1,0,0.1385,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,gr,18,2,12,1,0,0.1811,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,gr,18,3,12,1,0,0.1645,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,gr,24,1,12,1,0,0.1432,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,gr,24,2,12,1,0,0.1682,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,gr,24,3,12,1,0,0.1584,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,gr,40,1,12,1,0,0.1449,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,gr,40,2,12,1,0,0.1669,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,gr,40,3,12,1,0,0.1444,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,gr,45,1,12,1,0,0.1424,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,gr,45,2,12,1,0,0.1722,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,gr,45,3,12,1,0,0.1597,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,gr,48,1,12,1,0,0.1429,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,gr,48,2,12,1,0,0.1809,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,gr,48,3,12,1,0,0.1577,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,gr,62,1,12,1,0,0.1455,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,gr,62,2,12,1,0,0.172,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,gr,62,3,12,1,0,0.1573,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,24,1,12,1,0,0.2544,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,24,2,12,1,0,0.1825,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,24,3,12,1,0,0.1858,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,24,1,12,1,0.01,0.1543,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,24,2,12,1,0.01,0.1644,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,24,3,12,1,0.01,0.1551,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,24,1,12,1,0.1,0.3439,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,24,2,12,1,0.1,0.2479,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,24,3,12,1,0.1,0.3011,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,24,1,12,1,0.5,0.1648,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,24,2,12,1,0.5,0.1668,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,24,3,12,1,0.5,0.1783,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,24,1,12,1,1,0.1873,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,24,2,12,1,1,0.1567,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,24,3,12,1,1,0.189,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,24,1,12,1,10,0.1255,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,24,2,12,1,10,0.1976,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,24,3,12,1,10,0.1657,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,24,1,12,1,100,0.1748,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,24,2,12,1,100,0.2043,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,24,3,12,1,100,0.2137,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,48,1,12,1,0,0.2568,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,48,2,12,1,0,0.1829,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,48,3,12,1,0,0.1888,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,48,1,12,1,0.01,0.1531,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,48,2,12,1,0.01,0.1648,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,48,3,12,1,0.01,0.1612,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,48,1,12,1,0.1,0.3356,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,48,2,12,1,0.1,0.2476,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,48,3,12,1,0.1,0.2975,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,48,1,12,1,0.5,0.1654,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,48,2,12,1,0.5,0.1495,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,48,3,12,1,0.5,0.1906,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,48,1,12,1,1,0.1759,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,48,2,12,1,1,0.1557,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,48,3,12,1,1,0.1885,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,48,1,12,1,10,0.1333,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,48,2,12,1,10,0.1956,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,48,3,12,1,10,0.1664,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,48,1,12,1,100,0.1615,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,48,2,12,1,100,0.2124,BLANK,BLANK
BLANK12T1,Not Relevent,2016,Not Relevent,BLANK,mefenoxam,48,3,12,1,100,0.2069,BLANK,BLANK
BLANK13T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,24,1,13,1,0,0.149,BLANK,BLANK
BLANK13T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,24,2,13,1,0,0.1334,BLANK,BLANK
BLANK13T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,24,3,13,1,0,0.1313,BLANK,BLANK
BLANK13T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,24,1,13,1,0.01,0.1721,BLANK,BLANK
BLANK13T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,24,2,13,1,0.01,0.1364,BLANK,BLANK
BLANK13T1,Not Relevent,2016,Not Relevent,BLANK,ethaboxam,24,3,13,1,0.01,0.1296,BLANK,BLANK
